doc_id,title,feed,topic,label,PCA_x,PCA_y,t-SNE_x,t-SNE_y,UMAP_x,UMAP_y
0,美国科罗拉多州推出测均速相机系统,Solidot,6,智能体与安全,0.08941101,0.08295655,-5.414679,9.621579,12.613832,2.3626277
1,认知投降导致 AI 用户放弃逻辑思维能力,Solidot,9,苹果生态,0.06717185,0.016459763,4.151002,12.575294,11.6767645,0.6277983
2,AWS 工程师报告 Linux 7.0 下 PostgreSQL 性能暴降一半,Solidot,4,AI办公工具,-0.036175884,0.067005485,-14.576818,-16.507101,9.31377,1.2073194
3,Ubuntu 26.04 LTS 的最低内存需求提高到 6GB,Solidot,4,AI办公工具,-0.0068092775,0.16586813,-24.599224,-6.4308524,13.336884,-0.19983539
4,蟒蛇之血含有无副作用的减肥化合物,Solidot,3,耳机与数码,0.052834578,0.11372187,17.913218,-3.824654,9.95355,2.420305
5,美国近半数计划中的数据中心项目推迟或取消,Solidot,6,智能体与安全,0.07929861,0.14371386,-3.4009461,19.838072,11.584283,3.8063323
6,律师滥用 AI 生成虚假案例的事件激增,Solidot,7,机器人与编程,0.07051978,0.08656556,11.423718,-11.76023,11.939458,1.1908392
7,Gentoo GNU/Hurd 不是愚人节玩笑,Solidot,8,AI芯片算力,0.024645457,0.060096644,-15.04138,-15.087087,9.5534725,1.7316523
8,微软更新服务条款声明 Copilot 仅供娱乐,Solidot,4,AI办公工具,0.020195063,0.046328366,-9.413621,23.466011,11.283481,-0.044984136
9,可再生能源新增装机容量占全球新增装机容量的八成以上,Solidot,7,机器人与编程,0.059338428,0.11070342,-12.295312,-5.6544,12.065847,0.46527937
10,考古学家在北美发现距今至少 1.2 万年的骰子,Solidot,8,AI芯片算力,0.0349453,0.16328771,-17.061058,-10.291018,9.953248,1.8047585
11,人们日常说话的单词量比上一年减少 300 个单词,Solidot,4,AI办公工具,0.037627585,0.14257805,-25.263428,2.2461658,10.471047,2.2923677
12,AO3 结束公测,Solidot,9,苹果生态,0.045753784,0.09987487,3.9076998,18.770607,10.671657,1.2295463
13,最富 0.1% 人口的离岸财富超过最穷半数人口的财富总和,Solidot,8,AI芯片算力,0.07467107,0.09893368,10.900725,-0.42082798,12.068118,3.2742565
14,雄章鱼交接腕兼具感觉和交配功能,Solidot,0,大模型与智驾,0.043669123,0.11588988,15.169137,-4.580244,10.175768,2.3527637
15,Artemis II 的厕所是月球任务的一大里程碑,Solidot,6,智能体与安全,0.020161027,0.13187517,22.416431,-5.18855,9.646729,3.611705
16,Google 发布开放权重模型 Gemma 4,Solidot,0,大模型与智驾,0.10122023,-0.06251848,-20.31334,7.204139,14.53523,1.488527
17,Artemis II 宇航员发现电脑上有两个 Outlook 但没有一个能用,Solidot,4,AI办公工具,-0.030967772,0.122073434,22.954477,-4.5428824,9.587492,3.5559785
18,一款开放式耳机，怎么做到「降噪」的？｜韶音 OpenFit Pro 体验,爱范儿,9,苹果生态,0.050747816,0.04649477,-18.787569,20.36984,13.607448,3.4736912
19,我的同事被炼化成 Skill 了,爱范儿,9,苹果生态,0.07323073,-0.09515767,-10.172988,6.052496,11.999255,1.7035749
20,燃油不死，荣光仍在！福特 GT Mk IV 纽北圈速超越小米，来到第三,爱范儿,1,企业AI落地,0.21287295,-0.13602065,-0.368614,-2.6465695,13.148458,2.6404068
21,有线耳机这么好用，不翻红才怪,爱范儿,3,耳机与数码,0.019474324,0.053044338,-17.895742,20.366268,13.537676,3.5524027
22,大翻脸！Anthropic 封杀 OpenClaw，龙虾之父：说服失败,爱范儿,6,智能体与安全,0.018113406,-0.25484574,-10.091018,0.5311457,12.237622,-0.03457564
23,早报｜Slack粗暴切断大中华区服务引发用户不满/小米手机涨价，卢伟冰：内存涨价远超预期/三大外卖平台被约谈，6月落实食品安全新规,爱范儿,0,大模型与智驾,0.23354985,-0.276049,-7.8965163,8.254276,12.479317,2.0295658
24,11.19 万起售！纯电续航最长的插混比亚迪出现了,爱范儿,2,新能源汽车,0.1644594,-0.04747517,-1.1276795,-4.130253,12.987674,2.4606366
25,对话 FREELANDER 神行者 CEO 文飞：我不希望大家买我们的车去拔河、涮泥锅,爱范儿,1,企业AI落地,0.25879902,-0.23928663,-1.0728241,-1.9240762,12.958394,2.772495
26,苹果，Vibe Coding 最严厉的父亲,爱范儿,9,苹果生态,0.046613883,-0.12930524,-9.25341,11.256165,11.144081,2.2404346
27,以小小小小胜大！Google 最强小模型刚刚发布，手机也能跑,爱范儿,0,大模型与智驾,0.13241948,-0.2813428,-19.858215,6.147121,14.44258,1.5756212
28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,0,大模型与智驾,0.28035182,-0.4020655,-7.0703506,7.2660713,13.454637,1.8545613
29,11.98 万起，占了同级一半销量的小鹏 MONA M03，又加上了「图灵芯片」和「越级座舱」,爱范儿,2,新能源汽车,0.16176097,-0.12774436,-0.4051994,-3.8443494,13.212499,2.5793316
30,腾讯会议这波 AI 功能，让我彻底戒掉了整理焦虑,爱范儿,4,AI办公工具,0.00091375137,-0.10475389,5.294846,-11.67672,10.0509815,0.43560195
31,AirPods Max 2 体验：降噪更强声音更饱满，稳定更新的小升级,爱范儿,3,耳机与数码,0.035127897,0.010348826,-18.324566,19.542156,13.489282,3.6176498
32,每天烧 120 万亿 Token，这是 AI 圈最新的凡尔赛,爱范儿,1,企业AI落地,0.16456045,-0.28493947,-8.262423,4.4947286,12.421556,1.1782082
33,获得 B 站 AI 创作大赛一等奖的 UP 主说，AI 对创意没有任何帮助，但价值在别处,爱范儿,9,苹果生态,0.060995936,-0.12891607,-2.2577288,9.618937,12.226781,2.4204853
34,惹众怒！Anthropic 疯狂删库，他连夜爆改 Claude Code 源码拿下史上最快 10 万星,爱范儿,6,智能体与安全,0.09753608,-0.25597808,-10.627331,1.0918074,12.500988,0.31163502
35,十年时间，移动影像抵达「入海口」,爱范儿,4,AI办公工具,0.09450858,-0.02268922,16.686754,-11.037071,12.817451,1.7532651
36,早报｜国内五大手机厂商全线涨价/奇瑞宣布放1天春假，但要用年假来换/广州早茶新规：茶位费必须配茶、传统点心须24小时现制,爱范儿,6,智能体与安全,0.22261256,-0.19182177,-6.498233,8.183087,12.533303,2.2883365
37,苹果 50 年，什么都被抄走了，除了这一样,爱范儿,1,企业AI落地,0.029985493,-0.09725661,-9.717043,12.1602,11.293934,2.3757243
38,App+1｜装上它、然后忘掉它：用 ShotClean 自动化管理截图,少数派,9,苹果生态,-0.036973197,0.06343519,-12.794355,7.6396036,11.946719,1.8957978
39,愿君多修葺，此物最相思：从我的故事谈「数字遗产」保护,少数派,6,智能体与安全,-0.008955737,0.17107281,-8.551743,-7.729594,11.694057,1.7773829
40,买前必看：千问 AI 眼镜 G1 自费长测,少数派,5,游戏与传感器,0.013126635,0.060215093,-19.26136,-0.42821425,13.353668,1.419261
41,本周看什么 | 最近值得一看的 9 部作品,少数派,0,大模型与智驾,-0.047997788,0.15218365,2.6042185,19.290977,11.044154,1.7942125
42,为了将网页变为应用程序，我们付出了多少努力？（一）,少数派,8,AI芯片算力,0.010917705,0.14010641,-16.554626,-10.7826395,10.116946,1.9537305
43,vivo X300 Ultra 影像漫谈：最大的变化是变化很大,少数派,4,AI办公工具,-0.0034113594,0.17229098,16.927896,-11.338466,12.425077,1.7061437
44,派早报：Google 发布 Gemma 4 开源系列模型、智谱发布 GLM-5V-Turbo 多模态模型等,少数派,0,大模型与智驾,0.079237945,-0.08006376,-18.1905,7.2842565,14.33626,1.7137015
45,汇聚热爱，「2050 大会」少数派线下活动邀请你来参与,少数派,7,机器人与编程,0.010352176,0.10816901,11.841341,3.6275473,11.726873,2.9603617
46,派晚报：2026 年愚人节产品大赏,少数派,5,游戏与传感器,-0.08583371,0.27907452,-7.186416,-6.9711237,11.693105,2.0097225
47,被咬一口的世界，苹果 50 年的疯狂与奇迹,少数派,9,苹果生态,-0.017462954,0.12320364,-11.049384,12.549492,11.422527,2.177257
48,Notepad-- v3.7.1 已经发布，文本编辑器,开源中国,3,耳机与数码,-0.088157706,0.0718744,6.560011,24.664633,11.1154785,-0.31621942
49,【Ease UI】2026-04-06 组件更新：新增组件 xly-json-viewer json 查看器组件,开源中国,0,大模型与智驾,0.03288685,-0.024037523,-10.448344,-2.7359517,12.36671,0.69828105
50,XXL-JOB v3.4.0 发布 | OpenClaw 集成、合并调度、健壮性及体验增强,开源中国,7,机器人与编程,-0.026599031,-0.010735814,-11.035032,-6.6441503,11.821081,0.24983448
51,免费甘特图星甘 StarGantt 假期不打烊！推出小时模式、优化微信登录，AI 生成更稳定,开源中国,6,智能体与安全,-0.06314091,-0.00839866,5.1613307,-7.9439235,9.85367,1.0733173
52,DockMaster Pro v1.0.0 正式发布,开源中国,3,耳机与数码,-0.03670571,0.035512332,-0.32259148,-9.091968,10.679759,-0.5260595
53,MateClaw 1.0.0 正式版发布，开源的 JAVA 版本龙虾,开源中国,3,耳机与数码,0.034102175,-0.16248272,-6.4527707,-2.0456715,12.145277,0.9962671
54,微语 1.8.0 发布 - 开源智能客服,开源中国,4,AI办公工具,0.07163991,-0.1260028,0.32451162,6.2698455,11.8584,1.4092993
55,Tailscale 推出 macOS 窗口化界面：解决刘海屏菜单栏图标“消失”难题,开源中国,0,大模型与智驾,-0.021149185,0.045035217,0.55451226,-9.526778,10.532682,-0.40565443
56,智能路由如何实现 90% 成本下降？,开源中国,6,智能体与安全,0.12479351,-0.17361327,-14.416413,-3.4178567,13.56743,1.9454257
57,PhpStorm 2026.1 发布,开源中国,6,智能体与安全,-0.014251888,-0.16600095,6.386127,9.433582,12.226122,0.02477103
58,Electron 41.1.1 发布,开源中国,6,智能体与安全,-0.065190874,0.09361445,-9.864024,-12.265488,11.153496,0.53633255
59,谷歌：没人比我更懂 “不作恶”,开源中国,0,大模型与智驾,0.104516774,-0.067596614,-21.276138,6.2884974,14.524751,1.4363954
60,【AI 智能运维平台】本周更新：上线 MLOps 体验，监控中心支持自定义上报监控数据,开源中国,9,苹果生态,0.024764858,-0.076595455,0.94098544,7.887922,11.400107,1.4249715
61,:fire: Solon AI Harness 首次发布,开源中国,4,AI办公工具,0.10433267,-0.124720156,7.2587376,7.137055,12.313993,0.40785864
62,前 2 个月我国规上互联网企业完成互联网业务收入 3179 亿元,开源中国,1,企业AI落地,0.097678035,0.07444998,4.980922,1.0105773,12.590957,2.721547
63,美团发布原生多模态 LongCat-Next：当视觉和语音成为 AI 的母语,开源中国,1,企业AI落地,0.11700857,-0.13844815,-1.3023542,4.296371,13.177651,2.1355398
64,Rider 2026.1 发布：单文件 C# 运行、反汇编查看与游戏开发深度优化,开源中国,4,AI办公工具,-0.081199385,0.034132347,-5.395567,-10.72031,10.90307,0.910465
65,Cursor 3 发布：AI 编程进入“智能体集群”时代,开源中国,6,智能体与安全,0.14289437,-0.2489066,-15.24567,-2.1000745,13.667493,1.9035057
66,Xiaomi MiMo Token Plan 发布,开源中国,6,智能体与安全,0.07879266,-0.23900443,5.4764776,8.446079,12.363313,-0.034150206
67,DataGrip 2026.1 发布,开源中国,4,AI办公工具,-0.008310638,0.054138858,9.323863,-13.12354,11.149536,0.8762968
68,Node.js 25.9.0 发布,开源中国,4,AI办公工具,0.0022564195,0.117269084,-9.426337,-7.9066973,11.487913,0.9049748
69,PyCharm 2026.1：全新调试引擎、原生 uv 支持与自由的 AI 协作,开源中国,1,企业AI落地,0.020011809,-0.01369499,-5.9415607,-11.362565,11.156347,0.5578884
70,蚂蚁集团与清华大学联合开源 ClawAegis，面向 OpenClaw 智能体的安全防御插件,开源中国,6,智能体与安全,0.030173892,-0.20258977,-5.7238364,-3.22031,12.096106,1.1638706
71,WebAgent ：基于 MCP 协议打造的智能应用 “超级路由器”,开源中国,8,AI芯片算力,-0.0025135905,-0.025792338,-16.211216,14.072978,10.745396,2.0689697
72,微信 “AI 魔改” 治理： 3 月清理 3800 条违规视频,开源中国,3,耳机与数码,-0.067353286,0.052598786,5.633504,17.563854,10.35159,0.69562984
73,Google DeepMind 开源 Gemma 4,开源中国,0,大模型与智驾,0.12064519,-0.12978718,-19.345274,7.227512,14.566691,1.593673
74,MacState v1.7.0 发布,开源中国,6,智能体与安全,-0.061867647,0.062317334,-0.69986933,-10.700979,10.631369,-0.4763439
75,AIGC For Future 全球挑战赛正式启幕，OSChina 邀您直通日内瓦,开源中国,1,企业AI落地,0.10745218,0.05084607,11.507764,-0.29479265,11.767162,3.200493
76,Fedora 拒绝使用 systemd 管理用户环境变量提案,开源中国,6,智能体与安全,0.054546487,0.016022377,-13.300562,8.368675,11.988093,2.0742524
77,CrateDB 6.2.4 发布，分布式 SQL 数据库,开源中国,9,苹果生态,0.04280723,0.09648065,10.918324,-12.148499,11.474164,1.0988624
78,腾讯就 WorkBuddy 登录异常致歉：将向所有受影响国内用户补偿 1000 Credits,开源中国,6,智能体与安全,-0.0012203101,0.04113357,4.2417297,-8.601865,10.221383,0.4655468
79,:fire: SolonCode CLI v2026.4.5 发布（编程智能体）,开源中国,4,AI办公工具,0.104182936,-0.27741393,6.242919,8.053762,12.440772,-0.003819226
80,Cloudflare 开源 EmDash：WordPress 的精神继任者,开源中国,3,耳机与数码,-0.04775542,-0.041882224,6.503855,14.303709,10.604495,0.66657925
81,Visual Studio Code 1.114 发布,开源中国,9,苹果生态,-0.015859697,0.027926018,6.196604,24.312836,11.485011,-0.17497696
82,Redis 自动化运维最佳实践,开源中国,1,企业AI落地,0.10555101,-0.026293758,3.7891536,-2.8147545,12.976827,3.237908
83,树莓派 4 3GB 版发布，受内存影响价格再次上涨,开源中国,5,游戏与传感器,0.058366533,0.18753521,-22.835253,-5.2601414,13.562197,0.20094907
84,阶跃星辰发布最新模型 Step 3.5 Flash 2603，提升推理效率与灵活性,开源中国,0,大模型与智驾,0.12440912,-0.1030046,2.9013236,10.751272,11.785096,0.6823772
85,科技巨头裁员潮背后：CEO 集体“甩锅”AI,开源中国,1,企业AI落地,0.063742824,0.033556696,-13.178847,3.041378,13.0421915,0.42068797
86,智谱 AI 披露 2025 年业绩：收入增长 131.9%，毛利率达 41%,开源中国,6,智能体与安全,0.090981625,0.058552925,-0.22043642,13.764859,12.711096,3.70721
87,HarfBuzz 14.0 发布,开源中国,7,机器人与编程,-0.034170907,0.052225817,-5.794805,-13.0817,11.462184,0.1088187
88,阿里发布 Qwen3.6-Plus：中国编程能力最强的模型,开源中国,7,机器人与编程,0.18289441,-0.31753027,-16.340227,-0.85364836,13.764506,1.4606308
89,Lodash 4.18.1 发布，JavaScript 实用工具库,开源中国,9,苹果生态,0.012114127,0.112038195,-9.3654995,-12.281468,11.297439,0.38617492
90,Maxkb4j v2.6.0 已经发布，开源 LLMOps 平台,开源中国,0,大模型与智驾,-0.027161198,-0.12182126,3.2703552,-8.508791,10.382116,0.22010292
91,🔥 事件流添加 JS 变量：开源无代码 / 低代码平台 NocoBase,开源中国,0,大模型与智驾,-0.16101255,-0.026369032,10.1414995,-7.646519,10.681018,0.33508322
92,Nanobot（OpenClaw 轻量实现）的底层原理解析,开源中国,7,机器人与编程,0.012406476,-0.18514542,-7.0472674,0.5226932,11.833057,0.14382002
93,科氪 | 荣耀与京东签订战略合作协议 推进AI、机器人、C2M共创合作,36氪,7,机器人与编程,0.16782306,-0.11518154,4.8351703,4.3347383,12.53835,2.8515215
94,众筹300万美元的Agent盒子，想彻底解决你的算力焦虑,36氪,6,智能体与安全,0.15258582,-0.42053604,-5.646812,1.7174678,12.955751,1.2422686
95,36氪首发 | 清华系团队研发矿石AI智能分选机，完成近2亿元C轮融资,36氪,1,企业AI落地,0.23411821,-0.15142617,3.9905114,0.9788077,13.120399,2.9924552
96,高端智能投影品牌AWOL Vision获近亿元B轮融资，新品拿下近2000万美金众筹｜硬氪首发,36氪,1,企业AI落地,0.1896584,-0.17282452,-1.7313896,-0.4132475,13.261553,3.0854874
97,一群00后极客和这家机器人公司共处72小时,36氪,1,企业AI落地,0.25774503,-0.33693227,-0.24297082,2.563524,13.668742,2.5630739
98,神州数码2025年营收超1400亿，AI相关业务增长近五成｜最前线,36氪,1,企业AI落地,0.23203525,-0.16287075,3.0869331,4.6881003,12.835489,3.456368
99,元气森林2044创造营背后：创新要年轻，研发要更重 | 最前线,36氪,3,耳机与数码,0.13896726,-0.027101835,11.311462,3.235128,11.943565,3.1512735
100,一款运营三年的模拟经营游戏，是如何活力依旧的？,36氪,5,游戏与传感器,0.06085557,0.06991825,9.786569,12.378795,10.012821,1.2885461
101,泡泡玛特，风光不再？,36氪,2,新能源汽车,0.14966464,0.002753693,-1.9944301,12.4860935,12.510181,3.5903301
102,阅文“AI拟真人大讲堂”：好故事才是AI时代的未来,36氪,1,企业AI落地,0.17312635,-0.19953658,-2.4651337,8.925375,12.834304,2.5872567
103,在英伟达的新一轮投资中，澳大利亚AI基础设施公司Firmus估值接近70亿美元,36氪,0,大模型与智驾,0.06739497,0.11864996,7.798206,-3.3723972,11.223931,3.528491
104,2026清明档电影票房已破2.8亿元,36氪,7,机器人与编程,0.03607646,0.2266434,15.053834,18.156462,10.228111,2.7687812
105,全球海拔最高的槽式光热电站在西藏开工建设,36氪,1,企业AI落地,0.10636246,0.086030215,13.92958,-0.09231129,11.799975,3.6368425
106,中国核电：第一季度上网电量为549.25亿千瓦时 同比下降2.7%,36氪,6,智能体与安全,0.06881336,0.11163015,0.2603718,14.209906,12.745651,3.671475
107,国际原油价格持续走低,36氪,0,大模型与智驾,0.04889688,0.19671646,23.551281,16.728834,13.913059,0.44747978
108,清明假期预计跨区域流动8.4亿人次,36氪,7,机器人与编程,0.066248834,0.17655805,14.169654,19.166046,9.74763,2.5106266
109,美股大型科技股盘前多数上涨，特斯拉涨1%,36氪,8,AI芯片算力,0.03729567,0.13610744,-10.297833,17.8869,12.963245,0.88872755
110,现货黄金突破4680美元/盎司,36氪,7,机器人与编程,0.054525856,0.18538271,24.082645,16.350208,13.819505,0.54872674
111,美元指数失守100关口,36氪,0,大模型与智驾,0.03269703,0.19129297,23.760117,19.413195,13.866461,0.55297947
