word,iter,dominant_topic,dominant_label,topic_share,hw2_score,category,is_real_term,is_metaphor,sentiment,llm_domain,lda_agree,NAP,df,intra_sim
模型,1,0,开源小模型,0.3511,18.8352,技术术语,True,False,中性,大模型,True,2.5336,43,0.1523
OpenClaw,1,4,生成式AI,0.5029,13.0188,实体-产品,True,False,正面,生成式AI/AI编程,True,4.3855,20,0.2321
Claude,1,4,生成式AI,0.4954,12.2324,实体-模型,True,False,正面,生成式AI,True,5.572,17,0.2832
Code,1,4,生成式AI,0.469,10.5027,实体-产品,True,False,正面,AI编程,True,4.5947,19,0.2411
流程,1,2,产业AI落地,0.2846,10.1928,通用词,False,False,中性,通用,False,2.5742,18,0.154
Token,1,5,AI芯片算力,0.3722,9.5937,技术术语,True,False,中性,算力/计费,True,4.3527,16,0.2306
Windows,1,1,软件与外设,0.5197,8.5832,实体-平台,True,False,中性,操作系统/软件,True,3.9581,12,0.2136
Plus,1,3,AI编程助手,0.74,8.0591,实体-产品,True,False,中性,大模型产品/订阅,True,5.8713,10,0.2961
一套,1,7,激光雷达,0.2195,8.0457,通用词,False,False,中性,通用,False,2.4876,16,0.1503
阿里,1,3,AI编程助手,0.4958,7.645,实体-公司,True,False,中性,产业AI/云,True,5.3921,10,0.2754
门槛,1,9,苹果生态,0.2638,7.63,通用词,False,False,中性,通用,False,2.7983,14,0.1637
API,1,3,AI编程助手,0.3082,7.3449,技术术语,True,False,中性,软件接口,True,5.096,9,0.2627
搜索,1,9,苹果生态,0.2503,7.2831,技术术语,True,False,中性,软件/信息检索,False,2.472,13,0.1496
商业,1,2,产业AI落地,0.2656,7.2417,通用词,False,False,中性,通用/商业,False,2.6087,11,0.1555
社区,1,1,软件与外设,0.3844,7.2342,技术术语,True,False,正面,开源,True,3.018,12,0.1731
第三方,1,4,生成式AI,0.7326,6.9913,技术术语,True,False,中性,软件/生态,True,1.5931,11,0.1117
统一,1,4,生成式AI,0.46,6.8975,通用词,False,False,中性,通用,False,4.2307,12,0.2254
千问,1,3,AI编程助手,0.8141,6.8566,实体-模型,True,False,正面,大模型/AI编程,True,6.398,8,0.3188
接入,1,1,软件与外设,0.2414,6.7723,技术术语,True,False,中性,软件/API,True,3.8734,12,0.21
积累,1,7,激光雷达,0.2602,6.6644,通用词,False,False,中性,通用,False,2.9009,11,0.1681
新一代,1,3,AI编程助手,0.3175,6.5967,通用词,False,False,正面,通用/营销,False,3.1426,14,0.1785
GPU,1,0,开源小模型,0.491,6.3348,技术术语,True,False,中性,AI芯片算力,False,3.9417,9,0.2129
面向,1,2,产业AI落地,0.4991,6.3316,通用词,False,False,中性,通用,False,3.545,11,0.1958
消耗,1,3,AI编程助手,0.4145,6.2932,通用词,False,False,中性,通用,False,3.5618,10,0.1966
闭环,1,2,产业AI落地,0.361,6.2525,通用词,False,False,中性,通用/商业黑话,False,3.6617,9,0.2009
系统性,1,2,产业AI落地,0.3047,6.1418,通用词,False,False,中性,通用,False,3.1828,10,0.1802
终端,1,3,AI编程助手,0.351,6.1204,技术术语,True,False,中性,软件/设备,True,3.1934,11,0.1807
知名,1,3,AI编程助手,0.3405,5.8868,通用词,False,False,正面,通用,False,2.1563,10,0.136
字节,1,2,产业AI落地,0.2776,5.8222,实体-公司,True,False,中性,产业AI,True,3.1898,8,0.1805
修改,1,2,产业AI落地,0.2581,5.811,通用词,False,False,中性,通用,False,4.0081,9,0.2158
评测,1,3,AI编程助手,0.3454,5.7652,技术术语,True,False,中性,模型评测,True,5.204,8,0.2673
远程,1,4,生成式AI,0.3671,5.7509,通用词,False,False,中性,通用,False,2.7792,9,0.1628
文本,1,0,开源小模型,0.5039,5.2742,技术术语,True,False,中性,NLP,True,3.4585,9,0.1921
透露,1,0,开源小模型,0.2966,5.2633,通用词,False,False,中性,通用/新闻,False,4.3411,7,0.2301
万亿,1,2,产业AI落地,0.6505,4.9861,通用词,False,False,中性,通用/数量级,False,7.5911,4,0.3702
业界,1,7,激光雷达,0.3435,4.8706,通用词,False,False,中性,通用,False,2.5962,8,0.155
论文,1,4,生成式AI,0.3934,4.8441,通用词,False,False,中性,通用/学术,False,4.5876,7,0.2408
Arena,1,0,开源小模型,0.6203,4.7171,实体-平台,True,False,中性,模型评测,False,5.5659,7,0.2829
中文,1,1,软件与外设,0.8121,4.6585,技术术语,True,False,中性,NLP/本地化,True,2.478,8,0.1499
编程,2,3,AI编程助手,0.6694,11.6101,技术术语,True,False,正面,AI编程,True,3.9411,19,0.2129
迭代,2,6,自动驾驶,0.2878,10.8284,通用词,False,False,中性,通用/工程,False,2.9156,23,0.1687
参数,2,0,开源小模型,0.6964,10.6238,技术术语,True,False,中性,模型,True,2.9464,20,0.17
逻辑,2,5,AI芯片算力,0.2316,10.1326,通用词,False,False,中性,通用,False,3.013,21,0.1729
下载,2,1,软件与外设,0.4462,10.0692,技术术语,True,False,中性,软件,True,3.9895,16,0.215
原生,2,0,开源小模型,0.2182,9.6889,技术术语,True,False,中性,软件,False,2.1547,20,0.1359
Mac,2,9,苹果生态,0.7832,9.387,实体-平台,True,False,中性,苹果生态,True,2.6231,21,0.1561
路径,2,7,激光雷达,0.4964,9.1864,通用词,False,False,中性,通用,False,3.3546,17,0.1876
大幅,2,4,生成式AI,0.1878,9.1533,通用词,False,False,中性,通用,False,2.2628,19,0.1406
安装,2,1,软件与外设,0.3659,9.1273,技术术语,True,False,中性,软件,True,2.5159,18,0.1515
推理,2,0,开源小模型,0.6619,9.0727,技术术语,True,False,中性,模型,True,3.326,14,0.1864
决策,2,7,激光雷达,0.2855,9.0643,通用词,False,False,中性,通用,False,2.9197,15,0.1689
支撑,2,6,自动驾驶,0.225,8.9619,通用词,False,False,中性,通用,False,3.6053,18,0.1984
算法,2,7,激光雷达,0.4458,8.3133,技术术语,True,False,中性,通用技术,False,4.0681,13,0.2184
镜像,2,1,软件与外设,0.8896,8.2334,技术术语,True,False,中性,软件/系统,True,4.5806,10,0.2405
Linux,2,1,软件与外设,0.3505,8.1138,实体-平台,True,False,中性,操作系统/软件,True,3.1783,14,0.18
规划,2,2,产业AI落地,0.294,7.9074,通用词,False,False,中性,通用,False,4.4982,14,0.2369
维度,2,2,产业AI落地,0.2912,7.8057,通用词,False,False,中性,通用,False,2.9788,14,0.1714
自动化,2,7,激光雷达,0.2365,7.6209,技术术语,True,False,中性,通用技术,False,3.3364,13,0.1868
限制,2,0,开源小模型,0.323,7.5918,通用词,False,False,中性,通用,False,2.0144,16,0.1299
规模化,2,6,自动驾驶,0.3637,7.4708,技术术语,True,False,中性,产业,False,4.686,11,0.245
插件,2,1,软件与外设,0.4057,7.4662,技术术语,True,False,中性,软件,True,3.1935,13,0.1807
GitHub,2,1,软件与外设,0.6916,7.3685,实体-平台,True,False,正面,软件/开源,True,5.525,10,0.2812
组织,2,2,产业AI落地,0.5961,7.1546,通用词,False,False,中性,通用,False,5.6299,9,0.2857
上下文,2,0,开源小模型,0.4405,7.0146,技术术语,True,False,中性,大模型,True,4.7222,10,0.2466
优化,3,0,开源小模型,0.2486,11.6182,通用词,False,False,中性,通用,False,1.8857,28,0.1243
架构,3,1,软件与外设,0.2491,11.2393,技术术语,True,False,中性,软件/芯片,True,2.1545,24,0.1359
操作,3,3,AI编程助手,0.3049,9.8629,通用词,False,False,中性,通用,False,2.4892,19,0.1503
精准,3,4,生成式AI,0.2903,9.2577,通用词,False,False,正面,通用,False,3.5463,19,0.1959
决定,3,9,苹果生态,0.2519,9.1281,通用词,False,False,中性,通用,False,2.5336,21,0.1523
自主,3,3,AI编程助手,0.2371,8.9186,通用词,False,False,中性,通用,False,2.859,18,0.1663
判断,3,7,激光雷达,0.4525,8.6708,通用词,False,False,中性,通用,False,3.921,15,0.212
训练,3,3,AI编程助手,0.3615,8.6388,技术术语,True,False,中性,模型,True,4.6863,12,0.245
大规模,3,3,AI编程助手,0.2202,8.4013,技术术语,True,False,中性,模型/产业,True,3.3339,14,0.1867
链路,3,6,自动驾驶,0.3039,8.1427,通用词,False,False,中性,通用/工程,False,3.2603,14,0.1836
输入,3,0,开源小模型,0.2137,7.92,通用词,False,False,中性,通用,False,3.62,13,0.1991
一年,3,7,激光雷达,0.492,7.913,通用词,False,False,中性,通用/时间,False,2.5822,9,0.1544
跨平台,3,9,苹果生态,0.6781,7.6757,技术术语,True,False,中性,软件/生态,True,5.505,13,0.2803
驱动,3,9,苹果生态,0.2532,7.6534,通用词,False,False,中性,通用,False,2.5781,14,0.1542
才能,3,7,激光雷达,0.2893,7.4064,通用词,False,False,中性,通用,False,3.3944,14,0.1893
